Nombre.de.Comunidad,Código.de.Provincia,Nombre.de.Provincia,Población,Total.censo.electoral,Total.votantes,Votos.válidos,Votos.a.candidaturas,Votos.en.blanco,Votos.nulos,siglas,votos,sobrevalido,swingfactor_abs,swingfactor
Comunidad de Madrid,28,Madrid,6436996,4927932,3489376,3465795,3447658,18137,23581,C's,616503,17.788213093965453,0.8708794774093342,1.3620377560463592
Comunidad Foral de Navarra,31,Navarra,640476,502530,338720,335335,331867,3468,3385,C's,20505,6.114780741646413,0.9724659571019328,0.4682067949193272
País Vasco,1,Araba - Álava,323648,254579,169331,167640,166562,1078,1691,C's,8372,4.994034836554522,0.9989818840878956,0.38239164139008586
País Vasco,20,Gipuzkoa,716834,580706,367464,365493,362782,2711,1971,C's,11683,3.196504447417597,1.0955001058829656,0.24475531756643162
País Vasco,48,Bizkaia,1148775,948080,625444,621219,617312,3907,4225,C's,20685,3.3297436169853145,1.0152285669577845,0.2549573979314942
Región de Murcia,30,Murcia,1467288,1034075,719536,713592,709879,3713,5944,C's,111961,15.689777912308433,0.9074411158162694,1.2013612490282106
La Rioja,26,La Rioja,317053,247670,174913,172982,171757,1225,1931,C's,24180,13.978333005746263,0.8763899110111971,1.070316462920847
Comunitat Valenciana,3,Alicante / Alacant,1855047,1253296,882601,875169,870331,4838,7432,C's,138517,15.827457325385156,0.882386925972212,1.2119033174108083
Comunitat Valenciana,12,Castellón / Castelló,582327,416491,302324,299204,297135,2069,3120,C's,44121,14.746126388684644,0.8177695926626533,1.1291061553357307
Comunitat Valenciana,46,Valencia / València,2543315,1946046,1431843,1419521,1411013,8508,12322,C's,205489,14.475939419001199,0.7882745302115405,1.1084180259572127
Ciudad de Ceuta,51,Ceuta,84263,61587,31194,30837,30521,316,357,C's,3549,11.508901644128807,1.4722464326906544,0.8812328977127724
Ciudad de Melilla,52,Melilla,85584,57795,27483,27121,26853,268,362,C's,3352,12.359426274842374,1.564661203773274,0.9463572951640409
Andalucía,4,Almería,701211,491496,308989,306674,304461,2213,2315,ERC-CATSÍ,0,0,1.1077851234609697,0
Andalucía,11,Cádiz,1240284,993689,622252,615755,608817,6938,6497,ERC-CATSÍ,0,0,1.115143277818196,0
Andalucía,14,Córdoba,795611,651184,452038,446818,442329,4489,5220,ERC-CATSÍ,0,0,0.91235500030757255,0
Andalucía,18,Granada,917297,748579,494171,489540,486116,3424,4631,ERC-CATSÍ,0,0,1.0138859719771813,0
Andalucía,21,Huelva,520017,396117,249269,245819,243293,2526,3450,ERC-CATSÍ,0,0,1.1059628648205073,0
Andalucía,23,Jaén,654170,532211,375082,370762,368217,2545,4320,ERC-CATSÍ,0,0,0.88078212057665906,0
Andalucía,29,Málaga,1628973,1163657,752086,744858,738680,6178,7228,ERC-CATSÍ,0,0,1.0551538057793985,0
Andalucía,41,Sevilla,1941480,1531806,1044851,1033112,1023530,9582,11739,ERC-CATSÍ,0,0,0.9483770879627175,0
Aragón,22,Huesca,222909,173546,118018,116884,115680,1204,1134,ERC-CATSÍ,0,0,0.95453841968319,0
Aragón,44,Teruel,138932,109380,75932,74922,74218,704,1010,ERC-CATSÍ,0,0,0.9122801505207698,0
Aragón,50,Zaragoza,956006,734064,517144,513135,509011,4124,4009,ERC-CATSÍ,0,0,0.8815798597753839,0
Principado de Asturias,33,Asturias,1051229,982837,600463,594699,589325,5374,5764,ERC-CATSÍ,0,0,1.1606541982188268,0
Illes Balears,7,Illes Balears,1104479,772939,469437,464787,460561,4226,4650,ERC-CATSÍ,0,0,1.171419168730247,0
